,Company Names,Cars Names,Engines,HorsePower,Fuel Types,Seats,Torque,Price,Speed,Acceleration,Battery Capacity
920,Jaguar Land Rover,Jaguar XE P300 R-Dynamic,I4 Petrol,300.0,petrol,5,400.0,55000.0,250.0,5.5,1999.0
921,Jaguar Land Rover,Jaguar XF Sportbrake,I4 Petrol / V6 Petrol,250.0,petrol,5,400.0,60000.0,250.0,6.5,1999.0
922,Jaguar Land Rover,Jaguar I-PACE EV400 HSE,Electric (Dual Motor),400.0,electric,5,696.0,85000.0,200.0,4.5,90.0
923,Jaguar Land Rover,Jaguar F-PACE S 30t AWD,I4 Petrol,247.0,petrol,5,365.0,60000.0,225.0,6.4,1999.0
924,Jaguar Land Rover,Jaguar E-PACE R-Dynamic,I4 Petrol,246.0,petrol,5,430.0,55000.0,230.0,6.8,1999.0
925,Jaguar Land Rover,Jaguar XJ50,V6 Petrol,300.0,petrol,5,400.0,80000.0,250.0,6.0,2995.0
926,Jaguar Land Rover,Jaguar F-Type 75th Anniversary Edition,V8 Petrol,550.0,petrol,2,680.0,100000.0,300.0,3.9,5000.0
927,Jaguar Land Rover,Jaguar F-PACE S AWD,I4 Petrol / V6 Petrol,340.0,petrol,5,480.0,65000.0,250.0,5.4,1999.0
928,Jaguar Land Rover,Jaguar XE SE,I4 Petrol,250.0,petrol,5,365.0,50000.0,240.0,6.2,1999.0
929,Jaguar Land Rover,Jaguar F-Type V6 S Convertible,V6 Petrol,380.0,petrol,2,460.0,80000.0,280.0,4.8,2995.0
930,Jaguar Land Rover,Jaguar XE R-Sport AWD,I4 Petrol / V6 Petrol,300.0,petrol,5,400.0,55000.0,250.0,5.5,1999.0
931,Jaguar Land Rover,Jaguar XF Portfolio AWD,I4 Petrol / V6 Petrol,340.0,petrol,5,450.0,60000.0,250.0,5.4,1999.0
932,Jaguar Land Rover,Jaguar F-Type Coupe R,V8 Petrol,550.0,petrol,2,680.0,100000.0,300.0,3.9,5000.0
933,Jaguar Land Rover,Jaguar I-PACE First Edition,Electric (Dual Motor),400.0,electric,5,696.0,85000.0,200.0,4.5,90.0
934,Jaguar Land Rover,Jaguar F-PACE Prestige AWD,I4 Petrol / V6 Petrol,340.0,petrol,5,480.0,65000.0,250.0,5.4,1999.0
935,Jaguar Land Rover,Jaguar XJ Supercharged,V8 Petrol,510.0,petrol,5,625.0,90000.0,280.0,4.2,5000.0
936,Jaguar Land Rover,Jaguar F-Type P450 AWD,V8 Petrol,450.0,petrol,2,600.0,90000.0,290.0,4.0,5000.0
937,Jaguar Land Rover,Jaguar F-PACE P400e Plug-in Hybrid,I4 Petrol + Electric Motor,398.0,plug-in hybrid,5,640.0,75000.0,220.0,5.1,1999.0
938,Jaguar Land Rover,Jaguar F-Type P300 Coupe,I4 Petrol,300.0,petrol,2,400.0,60000.0,250.0,5.5,1999.0
939,Acura,NSX Type S,Twin-Turbo V6 Hybrid,600.0,hybrid,2,666.0,157000.0,307.0,2.9,3493.0
940,Acura,TLX PMC Edition,V6,290.0,petrol,5,362.0,62000.0,250.0,5.7,3500.0
941,Acura,MDX Advance,V6,290.0,petrol,7,362.0,60000.0,190.0,6.0,3500.0
942,Acura,RDX Technology,I4 Turbocharged,272.0,petrol,5,400.0,45000.0,210.0,6.6,1500.0
943,Acura,ILX Premium,I4,201.0,petrol,5,180.0,30000.0,200.0,6.6,2400.0
944,Acura,TLX A-Spec,V6,290.0,petrol,5,362.0,50000.0,250.0,5.7,3500.0
945,Acura,RDX SH-AWD,I4 Turbocharged,272.0,petrol,5,400.0,50000.0,210.0,6.6,1500.0
946,Acura,MDX SH-AWD,V6,290.0,petrol,7,362.0,55000.0,190.0,6.0,3500.0
947,Acura,RDX Platinum Elite,I4 Turbocharged,272.0,petrol,5,400.0,55000.0,210.0,6.6,1500.0
948,Acura,TLX A-Spec Sedan,V6,290.0,petrol,5,362.0,50000.0,250.0,5.7,3500.0
949,Acura,TLX 2.4L,Inline-4,206.0,petrol,5,247.0,35000.0,210.0,6.0,2400.0
950,Acura,MDX Hybrid,V6 Hybrid,321.0,hybrid,7,335.0,55000.0,190.0,6.0,3500.0
951,Acura,RDX Hybrid,Inline-4 Hybrid,247.0,hybrid,5,400.0,50000.0,210.0,6.6,1500.0
952,Acura,ILX Technology Package,Inline-4,201.0,petrol,5,180.0,30000.0,200.0,6.6,2400.0
953,Acura,NSX GT3 (Track Version),Twin-Turbo V6 Hybrid,500.0,hybrid,2,600.0,150000.0,300.0,3.0,3493.0
954,Acura,RDX Turbo AWD,Inline-4 Turbocharged,272.0,petrol,5,400.0,45000.0,210.0,6.6,1500.0
955,Acura,TLX 3.5L V6,V6,290.0,petrol,5,362.0,50000.0,250.0,5.7,3500.0
956,Acura,ILX Special Edition,Inline-4,201.0,petrol,5,180.0,30000.0,200.0,6.6,2400.0
957,Acura,MDX SH-AWD w/Technology Package,V6,290.0,petrol,7,362.0,55000.0,190.0,6.0,3500.0
958,Acura,NSX 3.5L Hybrid Coupe,Twin-Turbo V6 Hybrid,537.0,hybrid,2,666.0,157000.0,307.0,2.9,3493.0
959,Acura,MDX Elite,V6,290.0,petrol,7,362.0,58000.0,190.0,6.0,3500.0
